Fuel Surcharge,1,$20.00,Taxable,$20.00
WERTHERS ORIGINAL ROLL 12X50 G,1 PK,$16.56,Taxable,$16.56
072799009014,,,,
CHRISTIES CRISPERS ALL DRESSED 1X145 G,4 PK,$3.90,Taxable,$15.60
00066721026521,,,,
TYLENOL - ARTHRITIS RELIEF 1X24 PK,2 PK,$6.28,Taxable,$12.56
064541302498,,,,
TYLENOL EXTRA STRENGTH EZ TABLETS 1X10 PK,4 PK,$3.75,Taxable,$15.00
00062600141118,,,,
3 MUSKETEERS- MILKY WAY MILK CHOCOLATE 36X54 G,1 PK,$82.42,Taxable,$82.42
058496422448,,,,
MAYNARDS - ORIGINAL GUMMIES 12X170 G,0.0833,$36.87,Taxable,$3.07
057700215029,PK,,,
BIC - CLASSIC PEN MED PT BLUE 1X2 PK,6 PK,$1.10,Taxable,$6.60
070330902824,,,,
CHRISTIE RITZ ORIGINAL 1X200 G,4 PK,$3.30,Taxable,$13.20
066721002204,,,,
LOACKER WAFER HAZELNUT 12X45 G,1 PK,$16.56,Taxable,$16.56
HUER CANDY GUMMI CUPS 12X165 G,1 PK,$34.20,Taxable,$34.20
771047240017,,,,
HUER CANDY CUP SOUR 12X165 G,1 PK,$34.20,Taxable,$34.20
771047240024,,,,
YUMY YUMY HALAL COLA BOTTLES 12X114 G,2 PK,$32.87,Taxable,$65.74
10818480010061,,,,
DARE REALFRUIT GUMMIES SUMMER FRUIT 9X180 G,2 CA,$28.41,Taxable,$56.82
10055653238703,,,,
MAYNARDS SWEDISH BERRIES & CREME 12X182 G,1 PK,$45.05,Taxable,$45.05
10057700017040,,,,
MAYNARDS SWEDISH BERRIES 12X185 G,1 PK,$46.85,Taxable,$46.85
057700215050,,,,
CANADA DRY GINGERALE 24X355 ML,1 PK,$23.07,Taxable,$23.07
062100002407,,,,
CANADA DRY GINGER ALE 24X500 ML,2 PK,$43.88,Taxable,$87.76
062100000007,,,,
COCA-COLA ZERO 24X355 ML,1 CA,$15.11,Taxable,$15.11
0006700010749,,,,
COCA-COLA ZERO 24X500 ML,2 PK,$43.88,Taxable,$87.76
067000004636,,,,
FANTA ORANGE 24X500ML,2 PK,$43.88,Taxable,$87.76
067000011627,,,,
NESTEA LEMON 12X500 ML,2 PK,$26.17,Taxable,$52.34
083900006266,,,,
NESTEA RASPBERRY 12X500 ML,2 PK,$26.17,Taxable,$52.34
055000379601,,,,
NESTEA LEMON ZERO 12X500 ML,2 PK,$26.17,Taxable,$52.34
083900006273,,,,
MONSTER ZERO ULTRA BLUE 12X473 ML,2 PK,$36.18,Taxable,$72.36
070847018902,,,,
MONSTER ULTRA VIOLET 12X473 ML,2 PK,$36.18,Taxable,$72.36
00070847028604,,,,
MONSTER ULTRA GOLD 12X473 ML,2 PK,$36.18,Taxable,$72.36
070847038955,,,,
MONSTER ULTRA PARADISE 12X473 ML,2 PK,$36.18,Taxable,$72.36
070847033769,,,,
MONSTER ULTRA FIESTA 12X473ML,2 PK,$36.18,Taxable,$72.36
070847036807,,,,
MONSTER PUNCH MANGO LOCO 12X473 ML,2 PK,$36.18,Taxable,$72.36
070847029724,,,,
MONSTER PACIFIC PUNCH 12X473 ML,2 PK,$36.18,Taxable,$72.36
MONSTER JAVA MEAN BEAN 12X444 ML,2 PK,$35.41,Taxable,$70.82
070847813064,,,,
MONSTER GREEN NRG 24X473 ML,1 PK,$58.79,Taxable,$58.79
070847812326,,,,
MONSTER ASSAULT 12X473 ML,2 PK,$36.18,Taxable,$72.36
070847811787,,,,
CORE POWER PROTEIN CHOCOLATE 12X414 ML,2 PK,$62.51,Taxable,$125.02
811620022866,,,,
CORE POWER PROTEIN STRAW-BANANA 12X414 ML,2 PK,$62.51,Taxable,$125.02
811620022835,,,,
CORE POWER PROTEIN VANILLA 12X414 ML,2 PK,$62.51,Taxable,$125.02
811620022859,,,,
GLACEAU - SMARTWATER PET 24x591ML,4 CA,$45.42,Non-,$181.68
0078616265036,,,Taxable,
DASANI WATER 12X1 L,2 PK,$23.39,Non-,$46.78
067000001758,,,Taxable,
DASANI WATER 24X591 ML,2 PK,$26.17,Non-,$52.34
067000001741,,,Taxable,
SPRITE CANS 24X355 ML,2 PK,$18.47,Taxable,$36.94
067000009327,,,,
GLACEAU VITAMIN WATER - MULTI-V 12X591 ML,2 PK,$30.02,Taxable,$60.04
786162650078,,,,
BARQS ROOT BEER 24X500 ML,1 PK,$42.34,Taxable,$42.34
067000111648,,,,
GLACEAU - SMARTWATER 12x1 L,2 CA,$34.64,Non-,$69.28
0786162650375,,,Taxable,
COCA COLA - US VANILLA 12x355ML,4 CA,$18.466,Taxable,$73.86
0004900003124,,,,
POWERADE MIXED BERRY 12X710 ML,1 PK,$26.17,Taxable,$26.17
067000004858,,,,
GLACEAU VITAMIN WATER STRW/KIWI 12X591 ML,2 PK,$30.02,Taxable,$60.04
0786162650054,,,,
COCA-COLA DIET 24X500 ML,2 PK,$43.88,Taxable,$87.76
067000004643,,,,
COCA-COLA DIET 24X355 ML,2 PK,$18.47,Taxable,$36.94
067000009280,,,,
GLACEAU VITAMIN WATER ZERO SQUEEZED 12X591 ML,2 PK,$30.02,Taxable,$60.04
0078616265065,,,,
GLACEAU VITAMIN WATER - XXX 12X591 ML,2 PK,$30.02,Taxable,$60.04
786162650115,,,,
GLACEAU VITAMIN WATER ZERO XOXOX 12X591 ML,2 PK,$30.02,Taxable,$60.04
COCA-COLA CLASSIC 24X355 ML,3 CA,$18.47,Taxable,$55.41
0006700001011,,,,
GLACEAU VITAMIN WATER MEGO C DRAGON 12X591 ML,2 PK,$34.57,Taxable,$69.14
0786162650139,,,,
FRESCA SUGAR FREE 24X500 ML,2 PK,$43.88,Taxable,$87.76
067000111655,,,,
GLACEAU VITAMIN WATER - ESSENTIALS 12X591 ML,2 PK,$30.02,Taxable,$60.04
786162650030,,,,
GLACEAU VITAMIN WATER ZERO SQ LEMON 12X591 ML,2 PK,$30.02,Taxable,$60.04
0786162650641,,,,
SPRITE 24X500 ML,2 PK,$43.88,Taxable,$87.76
067000004650,,,,
