TWIZZLERS-NIBS BLACK LICORICE 24X75 G,1 PK,$34.16,Taxable,$34.16
056600825208,,,,
TIC TAC T60 FRUIT ADVENTURE 12X29 G,1 PC,$22.49,Taxable,$22.49
00062020005649,,,,
PLANTERS HONEY ROASTED PEANUTS 12X70 G,1 PK,$12.31,Taxable,$12.31
058716972494,,,,
HEALTHY CRUNCH - DARK CHOCOLATE SUPERFOOD,1 CA,$43.84,Taxable,$43.84
CHERRY 6X235 G,,,,
665081004677,,,,
YUMY YUMY HALAL COLA BOTTLES 12X114 G,1 PK,$32.87,Taxable,$32.87
10818480010061,,,,
EXCEL WHITE WINTERFRESH 12X1 PC,1 PK,$16.63,Taxable,$16.63
064900420894,,,,
HEALTHY CRUNCH - RICE CRISPY SQUARES - BIRTHDAY,1 CA,$32.80,Taxable,$32.80
CAKE 6X132 G,,,,
665081002758,,,,
CANADA DRY GINGER ALE 24X500 ML,2 PK,$42.34,Taxable,$84.68
062100000007,,,,
HALLS COOL MINT 20X1 PK,1 PC,$31.12,Taxable,$31.12
GLACEAU VITAMIN WATER - XXX 12X591 ML,2 PK,$30.02,Taxable,$60.04
786162650115,,,,
FISHERMAN'S FRIEND SUGAR FREE CITRUS 16X1 EA,1 PC,$33.16,Taxable,$33.16
011250000054,,,,
SCHOLTENS BBQ PEANUTS 12X175 G,0.8333,$38.43,Taxable,$32.02
679079582283,PK,,,
GLACEAU VITAMIN WATER ZERO XOXOX 12X591 ML,2 PK,$36.79,Taxable,$73.58
786162003645,,,,
HEALTHY CRUNCH - TRAIL MIX - TROPICAL ESCAPE,1 CA,$43.84,Taxable,$43.84
6X225 G,,,,
628451163749,,,,
FISHERMAN'S FRIEND HONEY LEMON 16X1 EA,1 PC,$33.16,Taxable,$33.16
011250000061,,,,
EXCEL PEPPERMINT MINTS TINS 8X1 PC,1 PC,$21.44,Taxable,$21.44
064900409431,,,,
MAYNARDS - FUZZY PEACH 12X185 G,0.25,$36.87,Taxable,$9.22
057700215203,PK,,,
TIC TAC T60 FRESHMINT 12X29 G,1 PC,$22.49,Taxable,$22.49
00062020005618,,,,
YUMY YUMY HALAL NEON WORMS 12X128 G,1 PK,$32.87,Taxable,$32.87
10818480010092,,,,
HALLS - SUGAR FREE BLACK CHERRY 20X1 PK,1 PC,$31.12,Taxable,$31.12
057700229958,,,,
HERSHEY OH HENRY PEANUT BUTTER 24X58 G,1 PK,$36.07,Taxable,$36.07
068000792837,,,,
EXCEL WHITE BUBBLEMINT 12X1 PC,1 PK,$16.63,Taxable,$16.63
064900409554,,,,
CADBURY DAIRY MILK FRUIT & NUT CHOCOLATE 24X42 G,1 PK,$36.39,Taxable,$36.39
061200084436,,,,
EXCEL PEPPERMINT GUM 12X1 PK,1 PK,$16.63,Taxable,$16.63
064900000324,,,,
DARE REALFRUIT SOUR CITRUS BURST 9X180 G,1 CA,$28.41,Taxable,$28.41
10055653239106,,,,
HEALTHY CRUNCH - RICE CRISPY SQUARES - CINNAMON,1 CA,$32.80,Taxable,$32.80
BUN 6X132 G,,,,
665081002765,,,,
5 FLOOD OTC SOUR STRAWBERRY 10X1 PC,1 PK,$21.38,Taxable,$21.38
064900429170,,,,
AERO KING SIZE 24X63 G,1 PK,$53.06,Taxable,$53.06
HEALTHY CRUNCH - DARK CHOCOLATE SUPERFOOD,1 CA,$43.84,Taxable,$43.84
CACAO NIBS 6X235 G,,,,
665081001072,,,,
NESTLE - KIT KAT WHITE 24X41 G,1 PK,$37.63,Taxable,$37.63
00059800849326,,,,
HEALTHY CRUNCH - TRAIL MIX - APPLE RAISIN 6X225 G,1 CA,$43.84,Taxable,$43.84
628451163787,,,,
HEALTHY CRUNCH - TRAIL MIX - BERRY NICE 6X225 G,1 CA,$43.84,Taxable,$43.84
628451163763,,,,
COCA-COLA CLASSIC 24X500 ML,3 PK,$42.34,Taxable,$127.02
067000004629,,,,
YUMY YUMY HALAL PEACH RINGS 12X128 G,1 PK,$32.87,Taxable,$32.87
10818480010054,,,,
HERSHEY-OH HENRY PEANUT BUTTER KING SIZE 24X85 G,1 PK,$51.39,Taxable,$51.39
068000792806,,,,
MARS-REGULAR BAR 48X52 G,1 PK,$79.20,Taxable,$79.20
058496328733,,,,
MONSTER PUNCH MANGO LOCO 12X473 ML,2 PK,$36.176,Taxable,$72.35
070847029724,,,,
Fuel Surcharge,1,$20.00,Taxable,$20.00
48'' Multi Color Arc Umbrella Black/Red,1,$0.00,Taxable,$0.00
608028082956,,,,
48'' Multi Color Arc umbrella Black/Pewter,2,$0.00,Taxable,$0.00
608028082970,,,,
48'' Multi Color Arc Umbrella Black/Blue,2,$0.00,Taxable,$0.00
608028082963,,,,
36'' Telescopic Auto Folding Umbrella Green,4,$0.00,Taxable,$0.00
608028082949,,,,
36'' Telescopic Auto Folding Umbrella Blue,3,$0.00,Taxable,$0.00
608028082932,,,,
36'' Telescopic Auto Folding Umbrella Black,3,$0.00,Taxable,$0.00
608028082925,,,,
YERBA MATE - REVEL BERRY 12X458 ML,1 CA,$28.21,Taxable,$28.21
632432000312,,,,
YERBA MATE - LEMON ELATION 12X458 ML,1 CA,$28.21,Taxable,$28.21
632432000305,,,,
YERBA MATE - ENLIGHTEN MINT 12X458 ML,1 CA,$28.21,Taxable,$28.21
632432000299,,,,
