Fuel Surcharge,1,$20.00,Taxable,$20.00
POWERADE MIXED BERRY 12X710 ML,2 PK,$26.17,Taxable,$52.34
067000004858,,,,
POWERADE FRUIT PUNCH 12X710 ML,2 PK,$26.17,Taxable,$52.34
067000004865,,,,
MINUTE MAID ORANGE JUICE 12X355 ML,3 PK,$26.17,Taxable,$78.51
059600070883,,,,
CADBURY-CARAMILK BAR AND A HALF CHOCOLATE,1 PK,$53.31,Taxable,$53.31
24X78 G,,,,
061200228373,,,,
DURACELL - BATTERIES AA 2'S 1X1 PK,1 PK,$3.75,Taxable,$3.75
041333215013,,,,
MINUTE MAID LEMONADE 12X355 ML,3 PK,$26.17,Taxable,$78.51
059600023681,,,,
HERSHEY-OH HENRY KING SIZE CHOCOLATE 24X85 G,1 PK,$51.39,Taxable,$51.39
068000762304,,,,
MINUTE MAID APPLE JUICE 12X355 ML,3 PK,$26.17,Taxable,$78.51
059600038081,,,,
QUEST PROTEIN BAR CHOC BROWNIE 12X60 G,1 PK,$64.49,Taxable,$64.49
00888849002290,,,,
COCA-COLA CLASSIC 24X500 ML,3 PK,$42.34,Taxable,$127.02
